state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method_name,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
06,075,0005,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2012-11-17,Parts per million,None,24,100.0,0.320833,0.5,0,6,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-08
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2000-08-13,Parts per million,None,23,96.0,0.491304,0.6,14,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-15
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2006-12-15,Parts per million,None,24,100.0,0.204167,0.4,0,5,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-12
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1995-05-13,Parts per million,None,24,100.0,0.541667,1.0,23,11,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-27
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2004-08-11,Parts per million,None,23,96.0,0.43913,0.6,7,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-13
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2003-03-04,Parts per million,None,24,100.0,0.641667,0.8,5,9,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-22
06,075,0005,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2017-10-04,Parts per million,None,24,100.0,0.4,0.6,9,7,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2018-02-22
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2005-09-05,Parts per million,None,23,96.0,0.278261,0.4,19,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-21
06,075,0005,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2014-07-12,Parts per million,None,24,100.0,0.2,0.2,0,2,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-07
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1997-03-23,Parts per million,None,23,96.0,0.56087,1.2,22,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-16
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1996-04-09,Parts per million,None,24,100.0,0.579167,1.0,6,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-25
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2000-09-12,Parts per million,None,24,100.0,1.125,1.6,22,18,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-15
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1994-05-22,Parts per million,None,24,100.0,0.545833,0.6,6,7,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-20
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2004-10-23,Parts per million,None,24,100.0,0.491667,0.6,15,7,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-13
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2004-06-23,Parts per million,None,23,96.0,0.391304,0.5,7,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-13
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2009-04-11,Parts per million,None,23,96.0,0.3,0.4,5,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-11
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2005-07-20,Parts per million,None,23,96.0,0.3,0.4,15,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-21
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2007-11-21,Parts per million,None,23,96.0,0.678261,1.6,20,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-12
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2002-04-11,Parts per million,None,17,71.0,0.505882,0.7,21,8,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-18
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2005-09-14,Parts per million,None,23,96.0,0.321739,0.4,6,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-21
06,075,0005,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2012-06-12,Parts per million,None,24,100.0,0.395833,0.5,8,6,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-08
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1993-03-30,Parts per million,None,24,100.0,1.0,1.0,0,,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-21
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2001-09-22,Parts per million,None,24,100.0,0.641667,0.8,12,9,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-14
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2007-09-11,Parts per million,None,24,100.0,0.3125,0.4,18,5,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-12
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2009-03-15,Parts per million,None,23,96.0,0.352174,0.4,7,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-11
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2004-05-04,Parts per million,None,23,96.0,0.421739,0.6,7,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-13
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2007-05-13,Parts per million,None,23,96.0,0.282609,0.3,2,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-12
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1993-03-10,Parts per million,None,24,100.0,1.095833,1.3,8,15,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-21
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2003-02-01,Parts per million,None,24,100.0,0.5,0.8,0,9,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-22
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2011-08-08,Parts per million,None,24,100.0,0.083333,0.1,0,1,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-10
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2001-12-08,Parts per million,None,24,100.0,0.816667,1.1,0,13,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-14
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1996-03-04,Parts per million,None,24,100.0,0.479167,0.6,0,7,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-25
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1995-11-02,Parts per million,None,24,100.0,0.633333,1.2,23,14,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-27
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2008-03-19,Parts per million,None,24,100.0,0.375,0.4,0,5,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-11
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1990-07-04,Parts per million,None,24,100.0,1.0,1.0,0,,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-30
06,075,0005,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2012-01-07,Parts per million,None,24,100.0,0.3875,0.7,3,8,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-08
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1999-03-15,Parts per million,None,23,96.0,0.578261,1.0,8,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-20
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1998-03-01,Parts per million,None,24,100.0,0.691667,1.0,7,11,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-15
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2001-11-29,Parts per million,None,23,96.0,0.5,0.9,23,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-14
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2000-08-18,Parts per million,None,23,96.0,0.586957,0.9,7,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-15
